Gdp Rank,State,Gdp$Millions,Percentage Of National Gdp,Population Millions,Gdp Per Capita$,Gdp
36,Mississippi,98900,0.68,3.0,"32,967",51
52,Puerto Rico,93520,0.46,3.9,"23,380",52
37,Nebraska,89600,0.62,1.8,"49,778",17
4,Florida,754000,5.20,18.8,"40,106",40
38,New Mexico,75500,0.52,2.1,"35,952",47
39,Hawaii,68900,0.47,1.4,"49,214",18
40,West Virginia,66600,0.46,1.9,"35,053",49
5,Illinois,644200,4.44,12.8,"50,328",15
41,Delaware,62700,0.43,0.9,"69,667",2
42,New Hampshire,61600,0.42,1.3,"47,385",22
6,Pennsylvania,575600,3.97,12.7,"45,323",25
43,Idaho,54800,0.38,1.6,"34,250",50
44,Maine,53200,0.37,1.3,"40,923",38
7,New Jersey,497000,3.42,8.8,"56,477",8
45,Rhode Island,49500,0.34,1.1,"45,000",26
8,Ohio,483400,3.33,11.5,"42,035",33
46,Alaska,45600,0.31,0.7,"65,143",3
9,Virginia,427700,2.95,8.0,"53,463",9
10,North Carolina,407400,2.81,9.5,"42,884",31
11,Georgia,403100,2.79,9.7,"41,711",35
47,South Dakota,39900,0.27,0.8,"49,875",16
48,Wyoming,38200,0.26,0.6,"63,667",5
12,Massachusetts,377700,2.60,6.5,"58,108",6
13,Michigan,372400,2.57,9.9,"37,616",42
49,Montana,37200,0.26,1.0,"37,200",44
14,Washington,351100,2.42,6.7,"52,403",10
50,North Dakota,33400,0.23,0.7,"47,714",20
15,Maryland,300000,2.07,5.8,"51,724",13
16,Indiana,267600,1.84,6.5,"41,169",36
17,Minnesota,267100,1.84,5.3,"50,396",14
18,Arizona,261300,1.80,6.4,"40,828",39
51,Vermont,26400,0.18,0.6,"44,000",30
19,Colorado,259700,1.79,5.0,"51,940",11
20,Wisconsin,251400,1.73,5.7,"44,105",29
21,Tennessee,250300,1.72,6.3,"39,730",41
22,Missouri,246700,1.70,6.0,"41,117",37
23,Connecticut,233400,1.61,3.6,"64,833",4
24,Louisiana,213600,1.47,4.5,"47,467",21
25,Alabama,174400,1.20,4.8,"36,333",46
26,Oregon,168900,1.16,3.8,"44,447",27
27,South Carolina,164300,1.13,4.6,"35,717",48
28,Kentucky,161400,1.11,4.3,"37,535",43
29,Oklahoma,160500,1.11,3.8,"42,237",32
30,Iowa,147200,1.01,3.0,"49,067",19
31,Kansas,128500,0.89,2.9,"44,310",28
32,Nevada,127500,0.88,2.7,"47,222",23
33,Utah,116900,0.81,2.8,"41,750",34
34,Arkansas,105800,0.73,2.9,"36,483",45
35,District of Columbia,104700,0.72,0.6,"174,500",1
1,California,1936400,13.34,37.3,"51,914",12
2,Texas,1307432,7.95,25.1,"45,940",24
3,New York,1156500,7.68,19.4,"57,423",7
,United States,14657800,100.00,308.7,"47,482",